Customer_Name,CustID,Revenue,% Total,Profit
ROBIN VAZQUEZ,15685,6942.13,0.03%,2808.58
IAN RICHARDSON,11414,6941.5,0.03%,3012.89
TABITHA JIMENEZ,15932,6940.15,0.03%,2807.34
MEGAN STEWART,11413,6938.56,0.03%,3015.65
JAKE SHE,17781,6938.45,0.03%,2802.58
WAYNE LAL,16829,6937.78,0.03%,2806.42
LOGAN MITCHELL,16828,6936.42,0.03%,2805
JACQUELINE JAMES,17209,6932.48,0.03%,2801.87
SHANE SANCHEZ,17183,6929.03,0.03%,2801.93
MARSHALL LIN,16822,6928.79,0.03%,2800.79
DIANA NAVARRO,16261,6924.04,0.03%,2798.81
CLINTON ALVAREZ,15625,6920.82,0.03%,2794.01
TERRENCE ANAND,16204,6913.82,0.03%,2789.62
ERICK LOPEZ,16567,6913.81,0.03%,2793.32
ALEXANDRA HALL,16830,6892.79,0.03%,2780.16
KATE RAI,16598,6885.51,0.03%,2775.61
PATRICIA CHAPMAN,12037,6857.18,0.03%,3013.36
DUSTIN DENG,11422,6827.68,0.03%,2966.72
KELVIN LAL,15082,6822.19,0.03%,2836.16
ZACHARY MARTINEZ,16587,6811.37,0.03%,2810.03
VERONICA SRINI,11996,6808.78,0.03%,2983.06
JOHNNY SHAN,11999,6793.76,0.03%,2967.47
REGINALD SUAREZ,18177,6793.07,0.03%,2800.48
RANDY HU,14976,6792.04,0.03%,2813.59
KRISTINA KAPOOR,11997,6782.19,0.03%,2941.57
EDUARDO WHITE,15626,6777.64,0.03%,2789.91
CRYSTAL LIANG,11549,6775.96,0.03%,2947.19
SHANNON SUN,12007,6775.19,0.03%,2961.59
KRYSTAL HU,13012,6771.55,0.03%,2944.71
NOAH ROSS,14773,6768.37,0.03%,2803.04
GARY ORTEGA,11496,6765.63,0.03%,2938.26
CLAYTON LI,17825,6763.71,0.03%,2782.67
TERRY TANG,14790,6757.74,0.03%,2794.91
JOHNNY MOYER,15093,6755.27,0.03%,2780.72
ADRIENNE SANZ,16298,6750.6,0.03%,2785.74
ADRIENNE SERRANO,15084,6750.52,0.03%,2787.59
RUSSELL SHARMA,15637,6750.06,0.03%,2775.35
SCOTT SEELY,16603,6748.93,0.03%,2785.26
DENNIS ZHOU,17199,6748.64,0.03%,2762.57
LAWRENCE ALONSO,12323,6746.57,0.03%,2783.22
ANDRE MARTINEZ,16588,6744.66,0.03%,2784.49
JODI SHAN,15095,6743.95,0.03%,2769.37
VERONICA VANCE,16575,6743.73,0.03%,2767.12
TERRANCE RODRIGUEZ,12333,6742.22,0.03%,2757.32
STACY HERNANDEZ,17811,6740.07,0.03%,2769.1
TYRONE RUBIO,15624,6739.66,0.03%,2781.36
JOSEPH MARTIN,11388,6738.18,0.03%,2916.93
GILBERT SHEN,12005,6737.57,0.03%,2937.48
LAWRENCE DOMINGUEZ,17225,6735.03,0.03%,2764.71
FRANKLIN HE,18127,6733.89,0.03%,2780.54
IAN TORRES,17207,6732.32,0.03%,2780.46
ANDRES PAL,14931,6730.58,0.03%,2773.2
DONNA DENG,15926,6729.64,0.03%,2772.05
WARREN HE,17192,6729.01,0.03%,2774.13
JULIA MORRIS,15697,6728.3,0.03%,2753.54
DEANNA CHANDRA,18141,6726.97,0.03%,2755.18
DANA DOMINGUEZ,15117,6725.4,0.03%,2762.38
DEANNA MARTINEZ,17202,6723.2,0.03%,2770.14
JONATHON HERNANDEZ,15699,6721.76,0.03%,2759.54
FRANKLIN RAJI,11400,6719.27,0.03%,2911.48
DONNA SHARMA,11998,6716.21,0.03%,2928.25
TYRONE SUAREZ,15684,6715.89,0.03%,2766.24
RUBEN SUAREZ,14031,6714.5,0.03%,2930.93
JASON CAMPBELL,13625,6712.22,0.03%,2908.14
DAWN WU,11493,6711.56,0.03%,2921.2
LATASHA DOMINGUEZ,15086,6710.98,0.03%,2764.64
PRISCILLA PAL,15928,6710.57,0.03%,2761.67
MEGAN RAMIREZ,11387,6710.23,0.03%,2920.81
JACLYN ANDERSEN,11468,6709.33,0.03%,2906.5
ROBERTO VAZQUEZ,16826,6707.34,0.03%,2761.8
KARLA ANAND,17185,6705.63,0.03%,2761.85
GERALD RODRIGUEZ,12216,6705.49,0.03%,2900.22
MELANIE SANDERS,16205,6704.68,0.03%,2741.23
BRENDA CHANDRA,15100,6704.01,0.03%,2758.48
JESSICA PATTERSON,17182,6703.36,0.03%,2762.34
CHRISTINE RAJE,17203,6702.61,0.03%,2758.17
ANDRES NARA,12332,6702.23,0.03%,2761.63
KATHRYN XIE,16262,6701,0.03%,2756.59
LARRY ORTEGA,18126,6698.34,0.03%,2759.19
SHAWN SHAN,15101,6697.66,0.03%,2758.21
JENNY LAL,17181,6697.34,0.03%,2758.57
KARLA RAJI,15929,6695.66,0.03%,2750.78
WARREN RAJE,16203,6693.63,0.03%,2731.84
TROY SRINI,15627,6693.31,0.03%,2749.88
KATRINA ANDERSEN,19032,6692.34,0.03%,2752.41
RANDALL MUNOZ,16824,6688.32,0.03%,2746.76
FRANKLIN XU,17103,6686.9,0.03%,2751.12
GILBERT HUANG,15927,6685.66,0.03%,2751.26
CLINTON DOMINGUEZ,15933,6684.64,0.03%,2750.62
BLAKE DIAZ,18135,6673.01,0.03%,2739.08
ERIKA MUNOZ,15114,6672.98,0.03%,2742.76
BILLY TORRES,16286,6672.04,0.03%,2738.47
TERRENCE XIE,16199,6671.7,0.03%,2741.96
RUTH MEHTA,15702,6671.65,0.03%,2741.93
KELLI SUN,16307,6670.35,0.03%,2741.68
SETH SANCHEZ,17093,6670.35,0.03%,2741.68
GLENN WANG,17220,6668.96,0.03%,2740.25
BRYAN RIVERA,18160,6667.35,0.03%,2739.8
BARBARA GOEL,12988,6666.87,0.03%,2900.56
DESIREE ORTEGA,16309,6664.7,0.03%,2737.57
JOHNATHAN MADAN,13626,6663.2,0.03%,2880.58
YOLANDA SHAN,12702,6662.53,0.03%,2876.46
CRAIG CARLSON,17218,6660.97,0.03%,2730.3
JENNY XU,12222,6660.18,0.03%,2893.9
LAWRENCE SANZ,14030,6659.58,0.03%,2896
CHERYL MARTIN,16448,6659.3,0.03%,2732.29
PEDRO SANZ,18168,6658.98,0.03%,2730.3
FRANCISCO ASHE,12335,6658.47,0.03%,2881.76
ISABEL BARNES,15693,6658.36,0.03%,2731.14
JUAN PETERSON,13082,6657.82,0.03%,2869.82
JACLYN XU,12685,6655.54,0.03%,2872.09
JIMMY VAZQUEZ,12348,6654.82,0.03%,2872.76
CAMERON ANDERSON,16595,6654.55,0.03%,2730.31
ALBERTO RAMOS,12239,6653.26,0.03%,2875.82
CASSANDRA RANA,13407,6650.56,0.03%,2875.26
GILBERT GUO,17191,6649.72,0.03%,2728.2
GREGORY BECKER,13104,6644.52,0.03%,2883.43
DEANNA GARCIA,16297,6643.72,0.03%,2724.45
SHAUN SHEN,12684,6643.16,0.03%,2864.9
RENEE SUAREZ,12703,6642.2,0.03%,2861.27
KARLA SHE,12215,6640.46,0.03%,2878.42
ANDRES RAJI,13955,6640.26,0.03%,2883.55
KARLA YUAN,13629,6638.62,0.03%,2869.13
CASEY VAZQUEZ,13132,6634.73,0.03%,2884.14
COLLEEN ANAND,12647,6633.47,0.03%,2863.08
GEORGE SANCHEZ,12680,6632.51,0.03%,2859.47
CATHERINE COX,13122,6625.19,0.03%,2872
EUGENE YE,11609,6624.87,0.03%,2878.53
COLE RAMIREZ,13616,6623.49,0.03%,2873.41
JEREMIAH GRIFFIN,18158,6623.37,0.03%,2709.24
BARRY SARA,13965,6622.47,0.03%,2869.63
GARY GUTIERREZ,12701,6619.87,0.03%,2867.44
LACEY KUMAR,13960,6619.55,0.03%,2851.58
STACY NAVARRO,12688,6618.87,0.03%,2866.81
DEANNA MARTIN,13091,6618.12,0.03%,2869.13
TRISHA ZHOU,12686,6615.89,0.03%,2843.57
KRISTI DOMINGUEZ,13644,6615.89,0.03%,2843.57
CLAYTON JAI,12339,6615.54,0.03%,2865.29
EMMA PATTERSON,14941,6615.3,0.03%,2779.3
WESLEY GAO,12346,6614.54,0.03%,2843.29
MICHELE MADAN,12676,6613.57,0.03%,2845.82
CRAIG MUNOZ,13076,6613.57,0.03%,2845.82
NICHOLE ANDERSEN,12653,6612.32,0.03%,2846.91
JOY GOMEZ,12658,6611.47,0.03%,2858.37
ARTHUR CHANDRA,14032,6611.27,0.03%,2849.53
EBONY CARLSON,13959,6609.5,0.03%,2840.8
MINDY KUMAR,12700,6609.17,0.03%,2861.86
CARMEN PEREZ,13139,6608.56,0.03%,2864.06
ANNA MARTINEZ,12994,6608.2,0.03%,2864.39
ANDRE GARCIA,12705,6604.19,0.03%,2861.89
LOUIS LIANG,12706,6603.6,0.03%,2847.2
GRANT NARA,12995,6602.4,0.03%,2863.56
WENDY ORTEGA,15094,6601.19,0.03%,2761.96
DAMIEN YE,13620,6600.83,0.03%,2863.49
MICHELE CHANDE,13078,6600.54,0.03%,2855.9
TAMARA PAL,12689,6598.74,0.03%,2857.56
AUDREY RUIZ,12645,6597.84,0.03%,2854.21
TERRY YUAN,13646,6596.77,0.03%,2838.09
RAYMOND MALHOTRA,13251,6595.85,0.03%,2856.1
BRENDAN RAJI,13103,6595.77,0.03%,2837.47
KELVIN LIN,13075,6595.76,0.03%,2855.7
ALAN WANG,13622,6595.54,0.03%,2855.91
LEONARD NATH,12637,6595.2,0.03%,2856.26
NICHOLE SHEN,12999,6594.57,0.03%,2855.3
DENISE MEHTA,13080,6594.49,0.03%,2855.81
KATIE KUMAR,12341,6593.79,0.03%,2836.23
MELISSA PATTERSON,12668,6593.57,0.03%,2833.3
SUMMER MADAN,12347,6593.23,0.03%,2836.79
PEDRO RANA,13970,6593.22,0.03%,2855.02
DARREN DOMINGUEZ,13966,6592.2,0.03%,2854.38
THERESA MUNOZ,13953,6591.83,0.03%,2826.04
WILLIE XU,13160,6590.89,0.03%,2849.3
DIANE MARTIN,13958,6590.07,0.03%,2852.49
CHERYL MUNOZ,13632,6589.54,0.03%,2824.61
MORGAN YOUNG,12342,6588.2,0.03%,2851.87
RACHEL REED,12644,6586.85,0.03%,2851.59
DIANA ALVAREZ,13638,6584.88,0.03%,2832.12
BRYANT SANCHEZ,13113,6583.84,0.03%,2844.89
JARROD RODRIGUEZ,13636,6583.19,0.03%,2823.1
KRISTINE DOMINGUEZ,14020,6583.19,0.03%,2823.1
ETHAN JONES,13051,6583.17,0.03%,2844.46
EVELYN RODRIGUEZ,13117,6582.85,0.03%,2826.59
EMMANUEL GARCIA,12263,6582.14,0.03%,2848.09
JIMMY TRAVERS,12674,6580.9,0.03%,2821.67
LESLIE HERNANDEZ,12990,6580.9,0.03%,2821.67
JACLYN GUO,13119,6580.53,0.03%,2840.34
KEVIN SIMMONS,12630,6579.57,0.03%,2845.91
BRENDA ARUN,13630,6578.84,0.03%,2845.45
CARL SHE,12317,6577.18,0.03%,2841.94
ALAN HE,12210,6575.53,0.03%,2840.24
RUTH GONZALEZ,12693,6574.58,0.03%,2842.79
JOY RAMOS,13129,6573.23,0.03%,2842.51
ANNE ORTEGA,13011,6573.22,0.03%,2845.64
BIANCA LU,13252,6571.87,0.03%,2842.22
COLLEEN WEST,13128,6571.25,0.03%,2823.03
CARLY GOEL,12989,6571.23,0.03%,2844.39
JOE SUBRAM,13631,6571.23,0.03%,2844.39
LORI DOMINGUEZ,12648,6570.77,0.03%,2843.2
SETH RODRIGUEZ,14203,6570.51,0.03%,2750.95
EUGENE HE,13645,6569.88,0.03%,2844.11
MONIQUE ORTEGA,12355,6569.54,0.03%,2839.64
JACQUELYN BLANCO,13411,6569.54,0.03%,2836.5
MADISON FOSTER,14038,6568.85,0.03%,2837.3
LYDIA SURI,13126,6566.51,0.03%,2837.74
REBEKAH SUAREZ,13649,6566.24,0.03%,2841.27
DEVON KENNEDY,13133,6565.88,0.03%,2841.6
MARIA WOOD,12667,6564.53,0.03%,2841.32
HOLLY FERNANDEZ,12675,6564.2,0.03%,2832.59
WAYNE TANG,13090,6563.85,0.03%,2836.07
KELVIN YANG,13404,6562.2,0.03%,2835.6
ARTURO XU,13619,6561.86,0.03%,2836.06
JERRY SHARMA,13651,6561.85,0.03%,2832.91
MELINDA TORRES,14033,6561.78,0.03%,2834.43
JULIA WOOD,12356,6561.56,0.03%,2834.64
CLAUDIA ZHANG,13114,6561.56,0.03%,2834.64
MARSHALL LI,12687,6559.58,0.03%,2833.4
JACLYN LIU,12996,6559.58,0.03%,2833.4
KRISTINA SCHMIDT,12318,6559.58,0.03%,2833.4
NATHAN WANG,14039,6559.54,0.03%,2838.2
JACKSON CAMPBELL,11575,6558.53,0.03%,2834.54
TANYA RAMOS,14045,6558.24,0.03%,2814.89
JASMINE LEWIS,13964,6557.88,0.03%,2828.64
JULIE RAJE,12214,6557.09,0.03%,2834.63
JUAN RAMOS,13633,6555.9,0.03%,2835.36
LAURA ZHOU,12683,6555.56,0.03%,2830.89
BETH GOMEZ,13254,6554.89,0.03%,2831.7
ELIZABETH ALEXANDER,13089,6554.56,0.03%,2830.25
RAFAEL RAJE,13000,6553.56,0.03%,2829.63
CLARENCE ZHANG,13001,6553.54,0.03%,2833.32
ANN RODRIGUEZ,12315,6553.21,0.03%,2829.97
AMY CHOW,12699,6552.24,0.03%,2832.5
ALAN HUANG,12671,6552.21,0.03%,2829.35
LANCE ORTEGA,12354,6551.24,0.03%,2810.5
RONALD SAI,13643,6550.88,0.03%,2824.25
ALEJANDRO LUO,12316,6550.53,0.03%,2821.56
KEITH ANDERSEN,11612,6549.23,0.03%,2830.62
DALTON MILLER,13130,6548.58,0.03%,2826.52
STEVE WU,14949,6545.68,0.03%,2738.19
IRVING SCHMIDT,12669,6545.21,0.03%,2828.11
EUGENE ZHAO,12328,6544.87,0.03%,2828.45
ARMANDO ALONSO,13647,6544.58,0.03%,2824.01
LOGAN HERNANDEZ,12350,6543.18,0.03%,2819.43
LACEY RAJE,12358,6541.87,0.03%,2822.31
ALEXIA FOSTER,11568,6540.89,0.03%,2818
MOHAMED PAL,12698,6540.86,0.03%,2821.68
BLAKE COLLINS,11610,6540.55,0.03%,2821.49
DERRICK RUIZ,12634,6540.52,0.03%,2822.03
LISA ZHU,15059,6540,0.03%,2718.97
SARAH MARTINEZ,12670,6539.24,0.03%,2824.37
CEDRIC LIU,12677,6538.23,0.03%,2820.6
JAY ARTHUR,12694,6537.89,0.03%,2824.09
EDGAR SANCHEZ,11604,6537.2,0.03%,2816.92
CHRISTY CHOW,12681,6535.21,0.03%,2815.68
CLARENCE WU,13115,6532.18,0.03%,2820.51
CARLY XIE,13253,6528.56,0.03%,2813.98
KRISTA RUIZ,13081,6526.26,0.03%,2816.25
BIANCA ZHAO,13971,6526.24,0.03%,2816.23
LACEY YUAN,12349,6525.9,0.03%,2813.55
JOHNNY RAI,13135,6525.9,0.03%,2816.58
VICTORIA STEWART,11259,6523.36,0.03%,2727.92
ALEJANDRO GOEL,13077,6519.8,0.03%,2811.29
JOE RAMOS,12353,6519.57,0.03%,2808.35
COLIN STONE,12673,6519.57,0.03%,2808.35
JESSIE SHE,13650,6519.57,0.03%,2808.35
GEOFFREY GONZALEZ,11603,6518.57,0.03%,2807.73
KELLI RAJI,13123,6518.2,0.03%,2811.76
ARTURO SHARMA,13648,6518.2,0.03%,2811.76
JAY RAMAN,13618,6515.91,0.03%,2810.33
FELICIA MORENO,12987,6513.58,0.03%,2804.61
WHITNEY RANA,13006,6513.58,0.03%,2804.61
EDWIN BHAT,13079,6506.24,0.03%,2803.71
STACY DIAZ,12340,6505.89,0.03%,2801.02
ANGEL RICHARDSON,12640,6505.89,0.03%,2801.02
TRINITY RICHARDSON,11263,6503.2,0.03%,2710.68
JAIME SUAREZ,15056,6498.95,0.03%,2697.97
KELSEY CHANDE,14846,6496,0.03%,2685.14
KRISTI PEREZ,11191,6494.66,0.03%,2681.84
STEFANIE RAMAN,14424,6491.18,0.03%,2714.47
BRIANA DIAZ,13131,6490.91,0.03%,2791.65
JON PAL,15440,6488.4,0.03%,2689.25
VADIM SAZANOVICH,14847,6477,0.03%,2694.62
JONATHAN HILL,11171,6470.66,0.03%,2694.36
JAY SURI,15687,6465.84,0.03%,2696.14
LUIS WANG,11175,6461.98,0.03%,2685.23
MARIA HERNANDEZ,14950,6461.02,0.03%,2684.63
ROY PATEL,14928,6457.65,0.03%,2680.05
TREVOR BRYANT,11090,6456.9,0.03%,2682.37
EDWIN ZHAO,14991,6456.3,0.03%,2679.77
REGINA VANCE,14984,6451,0.03%,2678.35
BONNIE YUAN,15048,6440.66,0.03%,2672.44
TIFFANY LI,11224,6438.35,0.03%,2674.7
NICHOLAS THOMPSON,11252,6436.64,0.03%,2666.9
JAIME ALONSO,15062,6434.32,0.03%,2666.01
JACQUELINE POWELL,11257,6430.55,0.03%,2668.34
BRITTNEY HU,14160,6429.78,0.03%,2707.74
DOMINIQUE LOPEZ,15077,6426.29,0.03%,2667.15
JACOB WILSON,15078,6425.68,0.03%,2663.07
MEGHAN VAZQUEZ,15047,6421,0.03%,2659.57
ALEJANDRO CHEN,14947,6412.34,0.03%,2655.39
BRENDAN XU,14937,6407,0.03%,2654.51
HAROLD MCDONALD,15051,6404.71,0.03%,2653.08
